Tratamiento_1;Tratamiento_2;n.hojas;altura.cm;Fv.Fm;raiz.total;tallo.total;hojas.total;raiz.hojas;Chl_b.µg.mL;Chl_b.mg.g;Chl_a.µg.mL;Chl_a.mg.g;acetona.mL;masa.hoja.mg
(-) N;Baja;4;6.2;0.569;0.4238;0.1989;0.3773;1.1234;;;;;;
(-) N;Baja;8;8;0.747;0.2759;0.2087;0.5153;0.5354;;;;;;
(-) N;Baja;;;;;;;;;;;;;
(-) N;Baja;5;5.9;0.667;0.3499;0.1571;0.493;0.7097;;;;;;
(-) N;Baja;4;7.8;0.765;0.5531;0.2405;0.2064;2.6799;;;;;;
(-) N;Baja;5;6;0.662;0.3979;0.1607;0.4414;0.9013;;;;;;
(-) N;Baja;4;6.6;0.272;;;;;1.6509;0.0097;1.0124;0.006;4;678.4
(-) N;Baja;8;8.5;0.74;;;;;1.8372;0.0289;1.159;0.0182;3;190.7
(-) N;Baja;5;6.4;0.743;;;;;2.1392;0.011;1.347;0.0069;2;388.4
(-) N;Baja;6;9.5;0.811;0.2839;0.1615;0.5547;0.5118;;;;;;
(-) N;Baja;4;4.5;0.768;;;;;2.1039;0.012;1.3404;0.0077;2;350.2
(-) N;Baja;5;5.9;0.132;0.4361;0.1295;0.4344;1.004;;;;;;
(-) N;Baja;5;6.8;0.692;;;;;0.7701;0.0052;0.5254;0.0035;3;446.6
