A	gs	WUE	Aminoacidos	Proteinas	Amido	Glicose	Frutose	Sacarose	Malato	Jasmonic_acid	Abisic_acid	Salicilic_acid	ACC	Zeatin	AIA	Espermina	Espermidina	Prolina	Putrescina
7.430	0.100	73.355	40.170	95.600	15.300	9.800	19.400	25.200	75.500	12.171	20.040		106.593	78.771	1.431	11547.639	3.571	11.529	5.520
9.510	0.090	102.551		83.900	16.700	4.700	17.200	18.000	95.300	11.124	19.906	19.625	163.405	105.635	3.160	5611.501	4.531	18.785	1.980
9.990	0.100	96.397	31.330	77.500	17.000		26.400	23.900	90.800	6.343	31.319	359.394	156.483	115.778	0.869	7038.137	2.083	16.254	1.993
6.440	0.080	77.995	44.720	50.800	13.400	3.400	9.700	20.800	64.800	0.979	14.542	21.202	91.589	60.997	1.204	4810.713	13.875	17.085	1.164
10.280	0.140	73.547		50.300	12.200	8.100	16.800	15.800	65.900										
6.099	0.057	107.493	46.867	101.965	25.305	12.393	7.945	48.695	49.177		26.729	225.040	243.672	144.331	1.095	3960.025		19.186	1.587
6.544	0.078	83.921	38.567	96.192	25.935	10.413	4.933	62.704	32.056	7.185	20.573	112.056	191.183	103.650	1.471	5595.084	1.982	10.819	2.788
5.968	0.056	105.721	47.385	87.119	26.116	12.649	1.350	43.020	42.492	8.657	31.846	299.278	141.892	302.729	3.534	24030.657	1.637	19.046	9.431
12.676	0.097	130.977	67.461	84.438	25.727	19.197	4.433	43.289	56.920	10.143	23.744	252.005	198.187	174.331	0.986	5603.336	1.362	19.234	1.035
11.230	0.108	103.610	44.519	127.681	25.815	2.967	3.233	60.685	56.726	10.143	27.369	180.517	180.127	85.201	0.986	6304.206	1.368	12.866	2.122
10.522	0.074	141.427	54.509	89.903	22.882	12.214	2.857	60.042	61.127										
1.960	0.010	151.643		111.600	28.600	3.300	3.600	83.100		23.206	23.445	256.600	255.933	75.621	2.371	3351.413	1.342	27.264	1.097
2.210	0.020	121.405	43.900	53.500	24.900	1.200	4.700	68.600	40.000	15.900	19.840	41.143	264.193	102.250	1.958	3831.867	2.494	29.246	1.482
1.420	0.010	113.648	30.500	94.100	36.100	2.900	4.500	98.000	91.100	16.976	32.167	145.094	323.685	105.117	2.189	4586.942	2.177	36.258	1.164
4.410	0.060	72.243	42.000	79.400	27.500	1.200	2.100	86.000	68.100	16.061	27.124	87.653	204.909	94.966	2.634	3594.364	2.386	27.761	1.202
2.610	0.020	144.548	29.000	92.100	26.300	4.200	6.700	104.100	58.900	47.353	31.530	97.228	210.788	146.341	2.268	3982.405	0.599	43.689	1.149
2.990	0.030	89.744	23.600	98.300		3.600		71.700	72.200										
4.350	0.040	107.032		79.800	17.500	3.500	21.100	19.500	53.600	6.120	17.794	352.754	143.316	79.313	1.461	6963.618	2.177	23.231	1.995
5.530	0.050	103.943	29.900		23.300	6.600		28.700	80.600	5.719	14.404	21.904	166.964	134.642	3.078	4302.647	2.472	20.163	0.878
8.570	0.080	108.555	37.570	66.800	18.200		15.200	20.700	69.000	1.464	21.126	124.922	164.092	106.131	-0.191	4956.453	8.958	24.392	1.054
4.630	0.040	114.440	30.680	110.900	22.200		20.400	29.700	88.100		21.758	266.960	193.461	136.111	1.649	4849.891		35.643	2.128
5.060	0.050	102.367	37.830	85.800	21.200	9.000	20.700	25.200	78.400		18.111	384.168	167.954	95.773	2.039	3510.452		28.879	1.561
4.780	0.040	112.145		58.400	21.700	8.600	16.200	23.400	88.100										
3.812	0.024	160.348	21.470	107.530	24.708	9.977	3.583	43.980	49.713	13.682	35.325	705.236	376.467	166.500	1.559	8636.649	1.455	30.321	5.212
4.804	0.051	94.310	89.282	114.848	27.269		4.746		48.960	7.345	24.711		217.356	122.009	2.400	7180.763	1.767	20.722	6.801
4.512	0.046	97.872	45.923	97.015	22.859	10.360	4.458	57.819		3.002	25.253	123.940	215.229	104.718	2.147	5489.510	4.406	18.284	1.652
6.113	0.042	146.071	46.870	98.661	28.612	11.768	2.097		40.355	4.225	19.006	221.065	324.288	109.721	0.581	7983.647	2.910	27.215	4.432
6.583	0.042	158.507	30.877	103.063	22.739	5.028	6.699	69.571	34.082	5.804	12.820	24.355	280.782	73.258	1.288	3932.076	2.286	35.167	4.264
4.494	0.030	147.379	48.951	122.416	28.542	13.021	16.695		88.923										
