A;gs;WUE;Aminoacidos;Proteinas;Amido;Glicose;Frutose;Sacarose;Malato;Jasmonic_acid;Abisic_acid;Salicilic_acid;ACC;Zeatin;AIA;Espermina;Espermidina;Prolina;Putrescina
10.84;0.11;99.149;28.6;77.4;16;;;17.8;97.5;15.14;27.215;;100.196;104.51;2.204;5630.802;2.781;22.724;1.485
7.43;0.1;73.355;40.17;95.6;15.3;9.8;19.4;25.2;75.5;12.171;20.04;;106.593;78.771;1.431;11547.639;3.571;11.529;5.52
9.51;0.09;102.551;;83.9;16.7;4.7;17.2;18;95.3;11.124;19.906;19.625;163.405;105.635;3.16;5611.501;4.531;18.785;1.98
9.99;0.1;96.397;31.33;77.5;17;;26.4;23.9;90.8;6.343;31.319;359.394;156.483;115.778;0.869;7038.137;2.083;16.254;1.993
6.44;0.08;77.995;44.72;50.8;13.4;3.4;9.7;20.8;64.8;0.979;14.542;21.202;91.589;60.997;1.204;4810.713;13.875;17.085;1.164
10.28;0.14;73.547;;50.3;12.2;8.1;16.8;15.8;65.9;;;;;;;;;;
6.099;0.057;107.493;46.867;101.965;25.305;12.393;7.945;48.695;49.177;;26.729;225.04;243.672;144.331;1.095;3960.025;;19.186;1.587
6.544;0.078;83.921;38.567;96.192;25.935;10.413;4.933;62.704;32.056;7.185;20.573;112.056;191.183;103.65;1.471;5595.084;1.982;10.819;2.788
5.968;0.056;105.721;47.385;87.119;26.116;12.649;1.35;43.02;42.492;8.657;31.846;299.278;141.892;302.729;3.534;24030.657;1.637;19.046;9.431
12.676;0.097;130.977;67.461;84.438;25.727;19.197;4.433;43.289;56.92;10.143;23.744;252.005;198.187;174.331;0.986;5603.336;1.362;19.234;1.035
11.23;0.108;103.61;44.519;127.681;25.815;2.967;3.233;60.685;56.726;10.143;27.369;180.517;180.127;85.201;0.986;6304.206;1.368;12.866;2.122
10.522;0.074;141.427;54.509;89.903;22.882;12.214;2.857;60.042;61.127;;;;;;;;;;
1.96;0.01;151.643;;111.6;28.6;3.3;3.6;83.1;;23.206;23.445;256.6;255.933;75.621;2.371;3351.413;1.342;27.264;1.097
2.21;0.02;121.405;43.9;53.5;24.9;1.2;4.7;68.6;40;15.9;19.84;41.143;264.193;102.25;1.958;3831.867;2.494;29.246;1.482
1.42;0.01;113.648;30.5;94.1;36.1;2.9;4.5;98;91.1;16.976;32.167;145.094;323.685;105.117;2.189;4586.942;2.177;36.258;1.164
4.41;0.06;72.243;42;79.4;27.5;1.2;2.1;86;68.1;16.061;27.124;87.653;204.909;94.966;2.634;3594.364;2.386;27.761;1.202
2.61;0.02;144.548;29;92.1;26.3;4.2;6.7;104.1;58.9;47.353;31.53;97.228;210.788;146.341;2.268;3982.405;0.599;43.689;1.149
2.99;0.03;89.744;23.6;98.3;;3.6;;71.7;72.2;;;;;;;;;;
4.35;0.04;107.032;;79.8;17.5;3.5;21.1;19.5;53.6;6.12;17.794;352.754;143.316;79.313;1.461;6963.618;2.177;23.231;1.995
5.53;0.05;103.943;29.9;;23.3;6.6;;28.7;80.6;5.719;14.404;21.904;166.964;134.642;3.078;4302.647;2.472;20.163;0.878
8.57;0.08;108.555;37.57;66.8;18.2;;15.2;20.7;69;1.464;21.126;124.922;164.092;106.131;-0.191;4956.453;8.958;24.392;1.054
4.63;0.04;114.44;30.68;110.9;22.2;;20.4;29.7;88.1;;21.758;266.96;193.461;136.111;1.649;4849.891;;35.643;2.128
5.06;0.05;102.367;37.83;85.8;21.2;9;20.7;25.2;78.4;;18.111;384.168;167.954;95.773;2.039;3510.452;;28.879;1.561
4.78;0.04;112.145;;58.4;21.7;8.6;16.2;23.4;88.1;;;;;;;;;;
3.812;0.024;160.348;21.47;107.53;24.708;9.977;3.583;43.98;49.713;13.682;35.325;705.236;376.467;166.5;1.559;8636.649;1.455;30.321;5.212
4.804;0.051;94.31;89.282;114.848;27.269;;4.746;;48.96;7.345;24.711;;217.356;122.009;2.4;7180.763;1.767;20.722;6.801
4.512;0.046;97.872;45.923;97.015;22.859;10.36;4.458;57.819;;3.002;25.253;123.94;215.229;104.718;2.147;5489.51;4.406;18.284;1.652
6.113;0.042;146.071;46.87;98.661;28.612;11.768;2.097;;40.355;4.225;19.006;221.065;324.288;109.721;0.581;7983.647;2.91;27.215;4.432
6.583;0.042;158.507;30.877;103.063;22.739;5.028;6.699;69.571;34.082;5.804;12.82;24.355;280.782;73.258;1.288;3932.076;2.286;35.167;4.264
4.494;0.03;147.379;48.951;122.416;28.542;13.021;16.695;;88.923;;;;;;;;;;
